<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.BR-4.20;15;20200103;101500;65.9300000;66.6300000;65.9300000;66.2300000;14
SPFB.BR-4.20;15;20200103;103000;66.5000000;66.6300000;66.5000000;66.6300000;10
SPFB.BR-4.20;15;20200103;104500;66.7600000;66.9000000;66.7600000;66.8200000;6
SPFB.BR-4.20;15;20200103;110000;67.0000000;67.0000000;67.0000000;67.0000000;0
SPFB.BR-4.20;15;20200103;111500;66.9400000;67.0000000;66.9400000;67.0000000;12
SPFB.BR-4.20;15;20200103;113000;67.0000000;67.0000000;66.9200000;66.9200000;8
SPFB.BR-4.20;15;20200103;114500;67.0200000;67.0200000;67.0200000;67.0200000;0
SPFB.BR-4.20;15;20200103;120000;66.9800000;67.0200000;66.9800000;67.0200000;17
SPFB.BR-4.20;15;20200103;121500;67.1000000;67.1000000;67.1000000;67.1000000;2
SPFB.BR-4.20;15;20200103;123000;67.1500000;67.1500000;67.1500000;67.1500000;0
SPFB.BR-4.20;15;20200103;124500;67.1500000;67.1500000;67.1500000;67.1500000;2
SPFB.BR-4.20;15;20200103;130000;67.3500000;67.3500000;67.3500000;67.3500000;0
SPFB.BR-4.20;15;20200103;131500;67.2500000;67.3500000;67.2500000;67.3500000;6
SPFB.BR-4.20;15;20200103;133000;67.3700000;67.5900000;67.3700000;67.5900000;24
SPFB.BR-4.20;15;20200103;134500;67.7500000;67.8200000;67.7500000;67.8200000;11
SPFB.BR-4.20;15;20200103;140000;67.8400000;67.8400000;67.7100000;67.7100000;26
SPFB.BR-4.20;15;20200103;141500;67.6800000;67.6800000;67.6800000;67.6800000;1
SPFB.BR-4.20;15;20200103;143000;67.4000000;67.4000000;67.3800000;67.3800000;7
SPFB.BR-4.20;15;20200103;144500;67.4400000;67.4400000;67.4400000;67.4400000;7
SPFB.BR-4.20;15;20200103;150000;67.7200000;67.7200000;67.7200000;67.7200000;10
SPFB.BR-4.20;15;20200103;151500;67.5000000;67.5000000;67.5000000;67.5000000;2
SPFB.BR-4.20;15;20200103;153000;67.2200000;67.3600000;67.2200000;67.3600000;8
SPFB.BR-4.20;15;20200103;154500;67.4200000;67.4200000;67.4200000;67.4200000;10
SPFB.BR-4.20;15;20200103;160000;67.4200000;67.4200000;67.4200000;67.4200000;0
SPFB.BR-4.20;15;20200103;161500;67.4200000;67.4200000;67.4200000;67.4200000;5
SPFB.BR-4.20;15;20200103;163000;67.4200000;67.4200000;67.4200000;67.4200000;2
SPFB.BR-4.20;15;20200103;164500;67.2000000;67.2000000;67.2000000;67.2000000;0
SPFB.BR-4.20;15;20200103;170000;67.2600000;67.2600000;67.2000000;67.2000000;16
SPFB.BR-4.20;15;20200103;171500;67.3000000;67.3000000;67.3000000;67.3000000;0
SPFB.BR-4.20;15;20200103;173000;67.3000000;67.3000000;67.2600000;67.3000000;3
SPFB.BR-4.20;15;20200103;174500;67.2600000;67.2600000;67.2600000;67.2600000;10
SPFB.BR-4.20;15;20200103;180000;67.3400000;67.3400000;67.3400000;67.3400000;0
SPFB.BR-4.20;15;20200103;181500;67.3400000;67.3400000;67.3400000;67.3400000;0
SPFB.BR-4.20;15;20200103;183000;67.2800000;67.3400000;67.2800000;67.3400000;15
SPFB.BR-4.20;15;20200103;184500;66.3000000;66.3000000;66.3000000;66.3000000;0
SPFB.BR-4.20;15;20200103;190000;66.3000000;66.3000000;66.3000000;66.3000000;0
SPFB.BR-4.20;15;20200103;191500;66.3000000;66.3000000;66.3000000;66.3000000;0
SPFB.BR-4.20;15;20200103;193000;67.0700000;67.0700000;66.3000000;66.3000000;155
SPFB.BR-4.20;15;20200103;194500;66.6000000;66.6000000;66.6000000;66.6000000;0
SPFB.BR-4.20;15;20200103;200000;66.6000000;66.6000000;66.6000000;66.6000000;0
SPFB.BR-4.20;15;20200103;201500;66.7000000;66.7000000;66.6000000;66.6000000;2
SPFB.BR-4.20;15;20200103;203000;66.8000000;66.8000000;66.8000000;66.8000000;0
SPFB.BR-4.20;15;20200103;204500;66.8000000;66.8000000;66.8000000;66.8000000;0
SPFB.BR-4.20;15;20200103;210000;66.8000000;66.8000000;66.8000000;66.8000000;0
SPFB.BR-4.20;15;20200103;211500;66.8000000;66.8000000;66.8000000;66.8000000;2
SPFB.BR-4.20;15;20200103;213000;66.8600000;66.8600000;66.8600000;66.8600000;55
SPFB.BR-4.20;15;20200103;214500;67.0700000;67.4600000;67.0700000;67.4600000;30
SPFB.BR-4.20;15;20200103;220000;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;221500;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;223000;67.0700000;67.0700000;67.0700000;67.0700000;5
SPFB.BR-4.20;15;20200103;224500;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;230000;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;231500;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;233000;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200103;234500;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200104;000000;67.0700000;67.0700000;67.0700000;67.0700000;0
SPFB.BR-4.20;15;20200106;101500;67.8000000;68.5800000;67.8000000;68.3200000;355
SPFB.BR-4.20;15;20200106;103000;68.3400000;68.3400000;68.1800000;68.3400000;93
SPFB.BR-4.20;15;20200106;104500;68.3400000;68.3400000;68.2800000;68.2800000;25
SPFB.BR-4.20;15;20200106;110000;68.4200000;68.4600000;68.4200000;68.4600000;21
SPFB.BR-4.20;15;20200106;111500;68.3200000;68.3600000;68.3200000;68.3600000;3
SPFB.BR-4.20;15;20200106;113000;68.5100000;68.5100000;68.5100000;68.5100000;0
SPFB.BR-4.20;15;20200106;114500;68.5100000;68.5100000;68.5100000;68.5100000;0
SPFB.BR-4.20;15;20200106;120000;68.4500000;68.5100000;68.4500000;68.5100000;5
SPFB.BR-4.20;15;20200106;121500;68.3000000;68.3300000;68.2100000;68.2100000;16
SPFB.BR-4.20;15;20200106;123000;68.2600000;68.3000000;68.1000000;68.1000000;35
SPFB.BR-4.20;15;20200106;124500;68.1000000;68.2000000;68.1000000;68.1900000;12
